shape,axis,bin_lo,bin_hi,metric,n,median,rms,p90,p99,max
pyramid,smax,1.41421,2,errC_gauss,85141,4.591786e-03,7.120479e-03,1.155329e-02,1.962561e-02,4.415931e-02
pyramid,smax,1.41421,2,errC_prod,85141,6.916974e-04,1.498604e-03,2.242170e-03,5.121597e-03,1.794249e-02
pyramid,smax,1.41421,2,refconv_C,85141,6.319112e-11,8.928983e-08,4.962137e-09,7.998008e-08,7.461913e-06
pyramid,smax,2,2.82843,errC_gauss,103523,6.729203e-03,1.133335e-02,1.873006e-02,3.258408e-02,6.048647e-02
pyramid,smax,2,2.82843,errC_prod,103523,1.072568e-03,2.437374e-03,3.769496e-03,8.073545e-03,2.649929e-02
pyramid,smax,2,2.82843,refconv_C,103523,2.082350e-09,5.462328e-07,8.379407e-08,9.302232e-07,4.288609e-05
pyramid,smax,2.82843,4,errC_gauss,149648,1.027549e-02,1.744313e-02,2.924291e-02,4.923575e-02,8.340902e-02
pyramid,smax,2.82843,4,errC_prod,149648,1.789708e-03,3.999169e-03,6.607597e-03,1.279792e-02,3.770485e-02
pyramid,smax,2.82843,4,refconv_C,149648,4.461916e-08,1.718146e-06,9.797393e-07,6.110590e-06,1.037714e-04
pyramid,smax,4,5.65685,errC_gauss,217008,1.331542e-02,2.280615e-02,3.830944e-02,6.459377e-02,1.051449e-01
pyramid,smax,4,5.65685,errC_prod,217008,2.997437e-03,6.329942e-03,1.065278e-02,1.980680e-02,5.197635e-02
pyramid,smax,4,5.65685,refconv_C,217008,4.969525e-07,6.428561e-06,6.648740e-06,2.637105e-05,2.759836e-04
pyramid,smax,5.65685,8,errC_gauss,174998,1.498877e-02,2.676745e-02,4.498502e-02,7.728190e-02,1.433060e-01
pyramid,smax,5.65685,8,errC_prod,174998,4.804914e-03,9.467681e-03,1.592318e-02,2.904690e-02,6.515466e-02
pyramid,smax,5.65685,8,refconv_C,174998,3.564808e-06,2.284612e-05,3.115878e-05,9.250847e-05,5.465192e-04
pyramid,smax,8,11.3137,errC_gauss,93574,1.778827e-02,3.196532e-02,5.315159e-02,9.263875e-02,1.812699e-01
pyramid,smax,8,11.3137,errC_prod,93574,7.219108e-03,1.339115e-02,2.280934e-02,3.956100e-02,7.898208e-02
pyramid,smax,8,11.3137,refconv_C,93574,1.687016e-05,6.833708e-05,1.054244e-04,2.630053e-04,8.906572e-04
pyramid,smax,11.3137,16,errC_gauss,41860,2.499731e-02,4.471950e-02,7.471510e-02,1.267092e-01,2.221706e-01
pyramid,smax,11.3137,16,errC_prod,41860,1.003719e-02,1.844069e-02,3.154150e-02,5.445998e-02,1.213689e-01
pyramid,smax,11.3137,16,refconv_C,41860,4.895501e-05,1.787134e-04,2.840092e-04,6.728853e-04,2.563055e-03
pyramid,smax,16,22.6274,errC_gauss,16086,3.614049e-02,6.344527e-02,1.073205e-01,1.711235e-01,2.428289e-01
pyramid,smax,16,22.6274,errC_prod,16086,1.336639e-02,2.392314e-02,4.098474e-02,7.054482e-02,1.080954e-01
pyramid,smax,16,22.6274,refconv_C,16086,1.175214e-04,3.924341e-04,6.287452e-04,1.425642e-03,3.038414e-03
pyramid,smax,22.6274,32,errC_gauss,4560,5.024468e-02,8.668341e-02,1.477450e-01,2.232715e-01,2.835074e-01
pyramid,smax,22.6274,32,errC_prod,4560,1.521301e-02,3.004686e-02,5.404525e-02,8.596870e-02,1.277376e-01
pyramid,smax,22.6274,32,refconv_C,4560,2.031865e-04,7.046215e-04,1.077197e-03,2.646310e-03,5.171291e-03
pyramid,smax,32,45.2548,errC_gauss,993,5.917415e-02,1.087240e-01,1.901084e-01,2.756017e-01,3.029572e-01
pyramid,smax,32,45.2548,errC_prod,993,2.131391e-02,4.214943e-02,6.898302e-02,1.193499e-01,2.436406e-01
pyramid,smax,32,45.2548,refconv_C,993,3.224730e-04,1.169083e-03,2.013152e-03,4.066618e-03,7.611312e-03
pyramid,smax,45.2548,64,errC_gauss,258,8.227437e-02,1.316590e-01,2.267403e-01,2.838632e-01,3.035236e-01
pyramid,smax,45.2548,64,errC_prod,258,2.648440e-02,6.821397e-02,1.268170e-01,1.818998e-01,2.304153e-01
pyramid,smax,45.2548,64,refconv_C,258,4.143937e-04,1.329050e-03,2.105875e-03,5.123076e-03,6.203354e-03
pyramid,smax,64,-1,errC_gauss,67,7.413974e-02,1.516931e-01,2.710775e-01,3.056851e-01,3.062301e-01
pyramid,smax,64,-1,errC_prod,67,2.977238e-02,1.033719e-01,1.555555e-01,3.769339e-01,3.803234e-01
pyramid,smax,64,-1,refconv_C,67,5.470055e-04,1.480311e-03,2.470334e-03,3.499274e-03,3.887512e-03
